epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4070.26,1.38103,0.47386,0.00156,0.9294,0.54898,0.74929,0.52782,1.59521,0.60493,0.00245,0.00183764,0.00183764,0.00183764
43,4165.46,1.39944,0.47702,0.00155,0.94404,0.52033,0.73989,0.51436,1.67144,0.60661,0.00254,0.00183368,0.00183368,0.00183368
44,4261.59,1.39883,0.47724,0.00155,0.93141,0.54124,0.74537,0.53073,1.57792,0.62372,0.00242,0.00182972,0.00182972,0.00182972
45,4357.8,1.3656,0.46466,0.00154,0.92723,0.5476,0.7473,0.52723,1.59347,0.58475,0.00242,0.00182576,0.00182576,0.00182576
46,4454.14,1.4198,0.47034,0.00152,0.94119,0.54355,0.74993,0.5271,1.61048,0.58467,0.00249,0.0018218,0.0018218,0.0018218
47,4549.62,1.35708,0.45789,0.00152,0.9355,0.54956,0.75132,0.53836,1.55219,0.57162,0.0024,0.00181784,0.00181784,0.00181784
48,4645.52,1.35239,0.4535,0.00149,0.94678,0.51583,0.73898,0.52056,1.61254,0.60667,0.00251,0.00181388,0.00181388,0.00181388
49,4741.67,1.41275,0.47864,0.00157,0.93933,0.54378,0.74881,0.53981,1.55181,0.59506,0.0024,0.00180992,0.00180992,0.00180992
50,4837.16,1.35572,0.46421,0.00152,0.92845,0.55314,0.75118,0.52106,1.62865,0.61523,0.00247,0.00180596,0.00180596,0.00180596
51,4933.06,1.36874,0.46504,0.00151,0.94547,0.50277,0.73026,0.48127,1.81808,0.65327,0.00289,0.001802,0.001802,0.001802
52,5028.93,1.35593,0.46679,0.00152,0.93801,0.5454,0.75012,0.54062,1.54535,0.58254,0.00237,0.00179804,0.00179804,0.00179804
53,5124.41,1.35558,0.4602,0.00149,0.95165,0.50254,0.7333,0.53625,1.5369,0.58286,0.00233,0.00179408,0.00179408,0.00179408
54,5221.19,1.35839,0.45958,0.00148,0.93159,0.55222,0.7519,0.53094,1.5961,0.59466,0.00242,0.00179012,0.00179012,0.00179012
55,5317.11,1.37685,0.46461,0.0015,0.93422,0.55788,0.75542,0.53504,1.5844,0.58019,0.00243,0.00178616,0.00178616,0.00178616
56,5413.73,1.3613,0.45713,0.00149,0.94616,0.53189,0.74631,0.54039,1.55544,0.58087,0.00237,0.0017822,0.0017822,0.0017822
57,5510.18,1.36094,0.45964,0.00152,0.92926,0.54482,0.7455,0.52141,1.62805,0.59479,0.00248,0.00177824,0.00177824,0.00177824
58,5606.26,1.32628,0.44621,0.00146,0.9325,0.54898,0.7512,0.53583,1.56127,0.58222,0.00239,0.00177428,0.00177428,0.00177428
59,5702.22,1.37091,0.45699,0.00147,0.92824,0.54991,0.74882,0.53138,1.5709,0.60988,0.00243,0.00177032,0.00177032,0.00177032
60,5797.98,1.35627,0.45383,0.00148,0.93015,0.55384,0.75326,0.54188,1.52843,0.58777,0.00235,0.00176636,0.00176636,0.00176636
61,5894.63,1.36233,0.45868,0.00149,0.94676,0.52391,0.74284,0.53746,1.56441,0.57984,0.00237,0.0017624,0.0017624,0.0017624
62,5991.5,1.3498,0.44954,0.00147,0.9397,0.54194,0.74915,0.54308,1.5278,0.56204,0.00235,0.00175844,0.00175844,0.00175844
63,6087.57,1.33729,0.44501,0.0015,0.95243,0.52276,0.74423,0.54562,1.53287,0.56647,0.00234,0.00175448,0.00175448,0.00175448
64,6183.08,1.34923,0.45442,0.0015,0.93537,0.53165,0.74293,0.53524,1.54023,0.60249,0.00233,0.00175052,0.00175052,0.00175052
65,6278.78,1.29303,0.43564,0.00143,0.92875,0.55568,0.75193,0.53445,1.5642,0.59218,0.00241,0.00174656,0.00174656,0.00174656
66,6374.82,1.34593,0.45388,0.00147,0.9408,0.53061,0.74451,0.53672,1.56345,0.59737,0.0024,0.0017426,0.0017426,0.0017426
67,6470.44,1.36568,0.4592,0.00149,0.93322,0.55049,0.75206,0.52932,1.58517,0.60451,0.00244,0.00173864,0.00173864,0.00173864
68,6567,1.30194,0.44348,0.00143,0.9242,0.56342,0.75412,0.54097,1.53434,0.56687,0.00232,0.00173468,0.00173468,0.00173468
69,6663.4,1.29875,0.44043,0.00143,0.92777,0.55499,0.74915,0.54347,1.49865,0.55354,0.00229,0.00173072,0.00173072,0.00173072
70,6759.29,1.32567,0.44273,0.00145,0.94141,0.5402,0.7494,0.53316,1.58811,0.57903,0.00242,0.00172676,0.00172676,0.00172676
71,6855.83,1.33257,0.45259,0.00146,0.95549,0.50843,0.73806,0.53783,1.52916,0.57945,0.00235,0.0017228,0.0017228,0.0017228
72,6951.16,1.31657,0.44121,0.00148,0.93818,0.53824,0.74714,0.53616,1.5513,0.5834,0.00235,0.00171884,0.00171884,0.00171884
73,7047.64,1.30684,0.4415,0.00145,0.95199,0.51768,0.74178,0.53922,1.55428,0.58357,0.00238,0.00171488,0.00171488,0.00171488
