epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,49595.2,2.30775,1.0729,0.00335,0.66678,0.43161,0.49053,0.20313,2.49634,1.30431,0.00495,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
32,50692.8,2.29029,1.03881,0.00329,0.64415,0.41809,0.47936,0.18784,2.55755,1.32353,0.00493,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885
33,52019.6,2.25586,1.06679,0.00336,0.63622,0.41578,0.477,0.18572,2.60679,1.31183,0.00501,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
34,53501.8,2.21427,1.05461,0.00335,0.64054,0.42479,0.4864,0.19702,2.5498,1.28431,0.00497,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
35,54665.3,2.23294,1.05338,0.00344,0.65215,0.42652,0.49311,0.20148,2.53834,1.2902,0.00495,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439
36,55780.1,2.23086,1.03156,0.00334,0.65929,0.42791,0.49403,0.20562,2.50979,1.34163,0.00491,0.0042675,0.0014225,0.0042675,0.0014225,0.0042675,0.0014225,0.0042675,0.0014225
37,56895.8,2.20974,1.00793,0.00334,0.67845,0.43291,0.50828,0.21292,2.4816,1.28311,0.00483,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
38,58048.4,2.22161,1.0476,0.00335,0.68839,0.43715,0.50924,0.21572,2.46768,1.24339,0.0048,0.0041685,0.0013895,0.0041685,0.0013895,0.0041685,0.0013895,0.0041685,0.0013895
39,59191.4,2.18366,0.97461,0.00325,0.68523,0.43534,0.51056,0.21493,2.4951,1.21852,0.00489,0.004119,0.001373,0.004119,0.001373,0.004119,0.001373,0.004119,0.001373
40,60264.7,2.17625,0.98089,0.0032,0.69133,0.44432,0.52207,0.21983,2.46824,1.20174,0.00478,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
41,61483.4,2.2037,0.99805,0.00326,0.68488,0.4414,0.52245,0.21658,2.48789,1.21312,0.00478,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
42,62666.7,2.16607,1.00305,0.00332,0.68883,0.43496,0.52749,0.22163,2.49513,1.29322,0.00494,0.0039705,0.0013235,0.0039705,0.0013235,0.0039705,0.0013235,0.0039705,0.0013235
43,63803.2,2.20951,0.96916,0.00315,0.69055,0.43594,0.52959,0.22543,2.47385,1.2708,0.00484,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
44,64937.6,2.16178,0.98495,0.00319,0.69349,0.44227,0.52878,0.22779,2.45532,1.25342,0.00477,0.0038715,0.0012905,0.0038715,0.0012905,0.0038715,0.0012905,0.0038715,0.0012905
45,66079.1,2.16273,0.99302,0.00322,0.68014,0.436,0.5264,0.22367,2.47657,1.29829,0.00474,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
46,67250.7,2.23457,0.99744,0.00324,0.6914,0.44385,0.53149,0.22634,2.46441,1.29184,0.00482,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
47,68404.3,2.17827,0.96511,0.00322,0.71099,0.44663,0.53935,0.23207,2.45022,1.2108,0.00476,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241
48,69515.4,2.19969,0.97717,0.00324,0.6907,0.4412,0.52957,0.22558,2.48941,1.25044,0.00489,0.0036735,0.0012245,0.0036735,0.0012245,0.0036735,0.0012245,0.0036735,0.0012245
49,70611.1,2.14976,0.94328,0.00315,0.69137,0.44247,0.53634,0.2328,2.45454,1.27588,0.00485,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
50,71695.7,2.15389,0.94309,0.00323,0.69281,0.44616,0.53956,0.22937,2.4734,1.27531,0.00483,0.0035745,0.0011915,0.0035745,0.0011915,0.0035745,0.0011915,0.0035745,0.0011915
51,72792,2.16716,0.95205,0.00313,0.71503,0.45529,0.55024,0.24278,2.40452,1.18871,0.00472,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175
52,74005.6,2.1559,0.94841,0.00318,0.69819,0.44256,0.54239,0.23684,2.43583,1.3062,0.00475,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
