epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2848.55,2.19611,0.88572,0.00271,0.9476,0.17341,0.56107,0.31938,2.39456,1.0122,0.00395,0.00492337,0.00164113,0.00492337,0.00164113,0.00492337,0.00164113,0.00492337,0.00164113
31,2942.66,2.28068,0.90404,0.00276,0.95402,0.14383,0.54942,0.32041,2.40413,1.00835,0.00393,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875
32,3037.13,2.19307,0.88202,0.00268,0.952,0.17872,0.56585,0.31789,2.41593,1.00709,0.00394,0.00484913,0.00161638,0.00484913,0.00161638,0.00484913,0.00161638,0.00484913,0.00161638
33,3130.4,2.18701,0.87755,0.00267,0.95586,0.16012,0.55798,0.32498,2.37257,0.99738,0.00387,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
34,3224.18,2.17291,0.87269,0.00269,0.94857,0.19605,0.57242,0.31432,2.44387,1.01278,0.00397,0.00477487,0.00159162,0.00477487,0.00159162,0.00477487,0.00159162,0.00477487,0.00159162
35,3317.45,2.14697,0.87062,0.00266,0.95551,0.18115,0.56817,0.32181,2.40265,0.99846,0.00391,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925,0.00473775,0.00157925
36,3410.66,2.16693,0.86614,0.00264,0.95714,0.20125,0.57912,0.33258,2.33942,0.99033,0.00382,0.00470062,0.00156688,0.00470062,0.00156688,0.00470062,0.00156688,0.00470062,0.00156688
37,3503.66,2.12411,0.85646,0.00263,0.95384,0.19097,0.57249,0.32629,2.37996,0.98518,0.00384,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
38,3597.82,2.11817,0.84937,0.0026,0.95724,0.19397,0.57557,0.33366,2.31845,0.9753,0.00381,0.00462638,0.00154213,0.00462638,0.00154213,0.00462638,0.00154213,0.00462638,0.00154213
39,3691.31,2.11625,0.84328,0.00259,0.96012,0.18634,0.57284,0.32815,2.37658,0.98346,0.00385,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975,0.00458925,0.00152975
