epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2096.31,1.37195,1.23569,0.01198,0.81501,0.7452,0.78811,0.51625,1.35941,1.15391,0.01156,0.00999825,0.00333275,0.00999825,0.00333275,0.00999825,0.00333275,0.00999825,0.00333275
2,3832.34,1.2297,0.8948,0.01044,0.83998,0.77346,0.81982,0.55081,1.33625,0.92861,0.01139,0.0196683,0.00655609,0.0196683,0.00655609,0.0196683,0.00655609,0.0196683,0.00655609
3,5436.96,1.27194,0.90987,0.01079,0.8457,0.77845,0.82046,0.5503,1.33834,0.96073,0.01143,0.0290083,0.00966943,0.0290083,0.00966943,0.0290083,0.00966943,0.0290083,0.00966943
4,6994.57,1.27321,0.8983,0.01082,0.84617,0.78404,0.82863,0.56943,1.31282,0.87114,0.01126,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,8555.82,1.22874,0.84406,0.01041,0.84657,0.79738,0.83787,0.58325,1.27402,0.80326,0.01084,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,10117.5,1.20209,0.81811,0.0101,0.85077,0.80009,0.83807,0.58586,1.25391,0.8051,0.01047,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,11672.4,1.18747,0.80401,0.00994,0.85124,0.79629,0.8398,0.59101,1.23974,0.78487,0.0104,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,13227.6,1.17789,0.78799,0.00989,0.85013,0.80003,0.84136,0.59413,1.22371,0.79954,0.01021,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,14785.1,1.16527,0.7816,0.00977,0.8515,0.79669,0.8419,0.59641,1.22136,0.79119,0.01021,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,16342.5,1.15433,0.7689,0.00968,0.84936,0.79693,0.84084,0.5974,1.2158,0.78286,0.01015,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,17894.4,1.15019,0.7584,0.00961,0.85059,0.79699,0.84201,0.59889,1.21174,0.78615,0.01011,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,19448,1.14442,0.7571,0.00959,0.85328,0.79609,0.84219,0.59987,1.20736,0.78356,0.01006,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
